2024-08-21 15:51:00.916  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : Starting YuandiInjectiondispenserApplicationTests using Java 17.0.9 on ZH with PID 8304 (started by 78671 in D:\work\疫苗发药机\yiwan-vaccinedispenser_-v1.0\yiwan-vaccinedispenser-admin)
2024-08-21 15:51:00.919  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : The following 1 profile is active: "dev"
2024-08-21 15:51:02.498  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-21 15:51:02.502  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-21 15:51:02.578  INFO 8304 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 51 ms. Found 0 Redis repository interfaces.
2024-08-21 15:51:11.215  INFO 8304 --- [main] c.y.v.s.s.s.n.impl.CabinetBServiceImpl   : 0x0B B柜柜-0x03-伺服控制指令：A5 5A 0D 00 01 00 0B 03 01 03 00 00 00 00 00 21 CE 55
2024-08-21 15:51:11.288  INFO 8304 --- [t_netty_pool_1630891187] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 01 00 0B 03 01 03 00 00 00 00 16 A0 55
2024-08-21 15:51:11.325  INFO 8304 --- [t_netty_pool_1505999560] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 01 00 0B 03 01 03 00 01 00 00 47 60 55
2024-08-21 15:51:11.436  INFO 8304 --- [main] c.y.v.s.s.s.n.impl.CabinetBServiceImpl   : 0x0B B柜柜-0x03-伺服控制指令：A5 5A 0D 00 02 00 0B 03 01 01 00 E0 2E 00 00 78 A1 55
2024-08-21 15:51:11.476  INFO 8304 --- [t_netty_pool_1304475971] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 02 00 0B 03 01 01 00 00 00 00 9F 6F 55
2024-08-21 15:51:11.498  INFO 8304 --- [main] c.y.v.s.s.s.n.impl.CabinetBServiceImpl   : 0x0B B柜柜-0x03-伺服控制指令：A5 5A 0D 00 03 00 0B 03 01 02 00 88 45 00 00 11 D2 55
2024-08-21 15:51:11.525  INFO 8304 --- [t_netty_pool_253326165] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 03 00 0B 03 01 02 00 00 00 00 8A AA 55
2024-08-21 15:51:13.626  INFO 8304 --- [t_netty_pool_1655426316] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 03 00 0B 03 01 01 00 01 00 00 9F 6A 55
2024-08-21 15:51:13.889  INFO 8304 --- [t_netty_pool_688099732] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x03-伺服控制指令:A5 5A 0C 00 03 00 0B 03 01 02 00 01 00 00 DB 6A 55
2024-08-21 15:51:14.355  INFO 8304 --- [main] c.y.v.s.s.s.n.impl.CabinetBServiceImpl   : 0x0B B柜柜-0x04-步进：A5 5A 0D 00 04 00 0B 04 01 01 00 8C 0A 00 00 7A 94 55
2024-08-21 15:51:14.375  INFO 8304 --- [t_netty_pool_1953103055] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x04-步进:A5 5A 0C 00 04 00 0B 04 01 01 00 00 00 00 09 B0 55
2024-08-21 15:51:14.826  INFO 8304 --- [t_netty_pool_184155897] c.y.v.system.netty.function.CabinetBMsg  : 收到B柜0x04-步进:A5 5A 0C 00 04 00 0B 04 01 01 00 01 00 00 58 70 55
2024-08-21 15:51:15.962  INFO 8304 --- [main] YuandiInjectiondispenserApplicationTests : {"sideCode":"NoRead"}
2024-08-21 15:51:15.994  INFO 8304 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-08-21 15:51:16.032  INFO 8304 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
